"","BL","V04","V06","V08","V10"
"ACTN4",-0.0458346283783784,0.0176823863636364,-0.106717929292929,-0.137561111111111,-0.121079166666667
"ADA",0.456429411764706,0.0440793478260869,0.416412262156448,0.834341666666667,0.577353804347826
"ADAM23",0.205589705882353,-0.0369388586956523,0.161545243128964,0.264232638888889,0.230178804347826
"ADGRE2",0.417343163751987,-0.216893181818182,0.724588095238095,0.572753333333333,0.558251136363636
"AGER",-0.172443084260731,-0.294217613636364,0.173418253968254,-0.0503022222222222,0.0992875
"AGRN",-0.155521383147854,-0.247966477272727,-0.05426746031746,-0.292622222222223,-0.500693181818182
"AGRP",1.36806911764706,0.639983695652174,1.31742727272727,1.51844305555556,2.25036684782609
"ALDH3A1",-1.10430806722689,-0.565062797619048,-0.886571291866029,-1.34202777777778,-2.16505962732919
"AMBN",-0.0786547297297298,-0.235030113636364,-0.204716161616162,-0.0609770833333333,-0.145008333333333
"AMN",-0.527822466216216,-0.289407954545455,-0.420839393939394,-0.636856944444445,-0.8256375
"ANGPT1",-0.151522496025437,-0.159220454545455,0.230395238095238,-0.0283844444444443,-0.288792045454545
"ANGPTL2",0.513151271860095,-0.0240289772727273,0.992097619047619,0.629868888888889,0.838927272727273
"ANGPTL4",-0.186959300476948,-0.447491477272727,0.11845,-0.241304444444444,-0.149818181818182
"ANXA11",1.10478941176471,0.454502083333334,1.08651267942584,1.27708174603175,2.09449440993789
"AOC1",-0.555012331081081,-0.382348295454545,-0.339212626262626,-0.532825694444444,-0.8149875
"ARHGEF12",0.206405882352941,0.0763041666666667,0.161394497607656,0.196906349206349,0.535684472049689
"ARNT",-0.774327364864865,-0.404141477272727,-0.595464141414141,-0.900924305555555,-1.51242083333333
"ARTN",-0.226088006756757,-0.0321534090909091,-0.136015656565657,-0.287057638888889,-0.414845833333333
"ATP5IF1",0.666357313195548,0.209546590909091,0.755520634920635,1.03307777777778,1.22358295454545
"AXIN1",0.33442025210084,0.0846342261904761,0.558403110047847,0.287311111111111,0.666137267080745
"B4GALT1",0.619504769475358,-0.357257954545454,1.02366111111111,0.554226666666667,1.00886818181818
"BACH1",0.305788739495798,0.146555357142857,0.188822248803828,0.414242063492063,0.590486335403727
"BANK1",-0.0502419327731092,0.157877380952381,0.100285167464115,-0.0790246031746031,-0.177944099378882
"BCL2L11",-0.0419672268907565,-0.13951369047619,-0.15236961722488,-0.16279126984127,-0.0190652173913044
"BCR",0.0596143697478992,0.0863446428571428,0.0774684210526315,-0.0740190476190475,0.322347204968944
"BID",1.65715151260504,0.461982738095238,1.23759210526316,1.70176507936508,3.03213291925466
"BSG",0.308110294117647,-0.0516448369565217,0.259211205073996,0.539261111111111,0.288985869565217
"BTN2A1",-0.159610492845787,-0.286127840909091,-0.041897619047619,-0.245757777777778,-0.437151136363636
